Year	Author	Temperature	Pressure
1960.0	Roth	16.66	265.577424
1960.0	Roth	16.67	269.97705
1960.0	Roth	16.69	274.909964
1960.0	Roth	16.7	276.24318400000004
1960.0	Roth	16.76	295.041586
1960.0	Roth	16.93	350.770182
1960.0	Roth	16.96	360.102722
1960.0	Roth	17.1	412.898234
1960.0	Roth	17.11	418.231114
1960.0	Roth	17.2	454.361376
1960.0	Roth	17.25	476.092862
1960.0	Roth	17.26	476.759472
1960.0	Roth	17.26	478.492658
1960.0	Roth	17.5	599.015746
1960.0	Roth	17.6	655.144308
1960.0	Roth	17.63	672.0762020000001
1960.0	Roth	17.86	812.730912
1960.0	Roth	17.89	834.329076
1960.0	Roth	17.94	870.0593719999999
1960.0	Roth	17.95	874.325676
1960.0	Roth	17.96	885.124758
1960.0	Roth	18.28	1133.5036440000001
1960.0	Roth	18.43	1266.425678
1960.0	Roth	18.44	1267.492254
1960.0	Roth	19.12	2151.8170800000003
1960.0	Roth	19.14	2180.2146660000003
1960.0	Roth	19.14	2189.81385
1960.0	Roth	19.15	2192.746934
1960.0	Roth	19.15	2192.746934
1960.0	Roth	19.18	2238.7430240000003
1960.0	Roth	19.21	2271.14027
1960.0	Roth	19.23	2307.6704980000004
1960.0	Roth	19.26	2362.46584
1960.0	Roth	19.98	3890.469282
1960.0	Roth	19.99	3914.867208
1960.0	Roth	19.99	3923.66646
1960.0	Roth	20.0	3936.065406
1960.0	Roth	20.24	4587.743342000001
1960.0	Roth	20.46	5284.21747
1960.0	Roth	20.47	5310.88187
1960.0	Roth	20.48	5340.079388
1960.0	Roth	20.65	5975.625362
1960.0	Roth	20.87	6824.353214
1960.0	Roth	20.88	6856.483816
1960.0	Roth	21.03	7503.362160000001
1960.0	Roth	21.07	7723.476782
1960.0	Roth	21.08	7751.2077580000005
1960.0	Roth	21.62	10588.033274000001
1960.0	Roth	21.63	10646.961598
1960.0	Roth	21.83	11931.385746
1960.0	Roth	21.84	12013.64542
1960.0	Roth	21.87	12041.643039999999
1960.0	Roth	22.14	14086.13591
1960.0	Roth	22.14	14119.46641
1960.0	Roth	22.16	14229.857026000001
1960.0	Roth	22.18	14363.712314
1960.0	Roth	22.18	14416.507826
1960.0	Roth	22.24	14798.875322000002
1960.0	Roth	22.25	14865.936288
1960.0	Roth	22.27	15008.05754
1960.0	Roth	22.75	18608.284828000003
1960.0	Roth	22.82	19210.366980000003
1960.0	Roth	22.83	19379.285954
1960.0	Roth	22.86	19601.800372
1960.0	Roth	22.87	19714.99075
1960.0	Roth	22.88	19724.456612
1960.0	Roth	23.04	21236.061448
1960.0	Roth	23.04	21238.461244
1960.0	Roth	23.04	21249.52697
1960.0	Roth	23.06	21396.84778
1960.0	Roth	23.16	22461.023984000003
1960.0	Roth	23.16	22463.023814
1960.0	Roth	23.17	22474.356184
1960.0	Roth	23.17	22499.687364
1960.0	Roth	23.17	22507.286718
1960.0	Roth	23.6	27636.717346
1960.0	Roth	23.61	27854.298850000003
1960.0	Roth	23.62	27943.357946
1960.0	Roth	23.77	29986.384274
1960.0	Roth	23.77	29990.7839
1960.0	Roth	24.01	33319.700918
1960.0	Roth	24.01	33384.228766
1960.0	Roth	24.22	36637.952176
1960.0	Roth	24.22	36650.617766
1960.0	Roth	24.22	36656.483934
1960.0	Roth	24.36	39239.864328
1960.0	Roth	24.49	41531.269542
1960.0	Roth	24.5	41556.867366
1960.0	Roth	24.5	41556.867366
1960.0	Roth	24.5	41612.46264
1970.0	Furukawa	24.553	43332.316439999995
1962.0	Grilly	20.301	4668.433191522793
1962.0	Grilly	20.5	5287.351059676491
1962.0	Grilly	20.7	5977.9240441683405
1962.0	Grilly	20.9	6743.154513974894
1962.0	Grilly	21.1	7589.352513666284
1962.0	Grilly	21.3	8523.198254989475
1962.0	Grilly	21.5	9551.752116074875
1962.0	Grilly	21.7	10682.464298587982
1962.0	Grilly	21.9	11923.1841213491
1962.0	Grilly	22.1	13282.16893059751
1962.0	Grilly	22.3	14768.092608753179
1962.0	Grilly	22.5	16390.05366522311
1962.0	Grilly	22.7	18157.58289449593
1962.0	Grilly	22.9	20080.650588459248
1962.0	Grilly	23.1	22169.673291552837
1962.0	Grilly	23.3	24435.520089023263
1962.0	Grilly	23.5	26889.518420173237
1962.0	Grilly	23.7	29543.45941008271
1962.0	Grilly	23.9	32409.60271482859
1962.0	Grilly	24.1	35500.680876724866
1962.0	Grilly	24.3	38829.903187550066
1962.0	Grilly	24.544	43233.98546356534
1998.0	White	5.98	2.00967474607652e-09
1998.0	White	6.0	2.2804354808636983e-09
1998.0	White	7.0	5.043023297875433e-07
1998.0	White	8.0	2.891983849673634e-05
1998.0	White	9.0	0.0006744067181765299
1998.0	White	9.13	0.0009654278303273007
2002.0	Metcalf	5.5	5.096102363180118e-11
2002.0	Metcalf	6.0	1.7760049382404577e-09
2002.0	Metcalf	6.5	3.584162813147685e-08
2002.0	Metcalf	7.0	4.7088058194204223e-07
1978.0	Ancsin	24.562	43378.97914
1978.0	Ancsin	20.0	3827.2096082394205
1978.0	Ancsin	20.5	5253.947652396879
1978.0	Ancsin	21.0	7107.0083212885465
1978.0	Ancsin	21.5	9483.205300365882
1978.0	Ancsin	22.0	12494.465669723913
1978.0	Ancsin	22.5	16269.096640609067
1978.0	Ancsin	23.0	20953.066284169163
1978.0	Ancsin	23.5	26711.303715369202
1978.0	Ancsin	24.0	33729.026659725845
1978.0	Ancsin	24.5	42213.1065893978
1947.0	Stull	15.849999999999966	133.322
1947.0	Stull	17.649999999999977	666.61
1947.0	Stull	18.549999999999983	1333.22
1947.0	Stull	19.44999999999999	2666.44
1947.0	Stull	20.549999999999983	5332.88
1947.0	Stull	21.24999999999997	7999.32
1947.0	Stull	22.149999999999977	13332.2
1947.0	Stull	23.44999999999999	26664.4
1947.0	Stull	25.049999999999983	53328.8
1947.0	Stull	27.149999999999977	101324.72
