Year	Author	Temperature	Pressure	Molar Density	Enthalpy	Entropy	Gibbs Energy	Volume
1971.	Crawford	33.144	62.903	66863.57194725957	919.394552883786	-2.2212954062215333	993.0171678275925	0.00001495582678096792
1971.	Crawford	33.146	62.924	66865.08352793471	919.7059611513037	-2.2213756760888126	993.3356793109434	0.000014955488683151391
1971.	Crawford	41.53	135.51999999999998	70486.36801401453	2035.7004843355967	-0.6073120891370358	2060.922155397458	0.000014187140409918325
1971.	Crawford	41.53	135.519	70486.2920868241	2035.6888528260477	-0.6072505519710674	2060.907968249406	0.000014187155692176472
1971.	Crawford	48.497	202.76299999999998	73082.35156902803	3026.771176932999	0.6115216035183932	2997.114213727167	0.000013683194075323042
1971.	Crawford	48.498	202.78099999999998	73083.17860013561	3027.0076619500105	0.6113193027248073	2997.359898406463	0.000013683039232206362
1971.	Crawford	54.513	265.357	75125.52760876209	3920.2642860894316	1.5644336145014142	3834.9823164621157	0.000013311054601942888
1971.	Crawford	54.513	265.364	75125.88030150865	3920.343003348602	1.5641683584282229	3835.0754936256044	0.000013310992110663074
1971.	Crawford	59.873	324.37199999999996	76824.08609841757	4741.507361145857	2.3447383465922997	4601.120842120336	0.000013016751005913992
1971.	Crawford	59.974	324.38	76805.15644914095	4744.650532093974	2.395453424184386	4600.985608431941	0.00001301995915680717
1971.	Crawford	64.665	379.48699999999997	78257.7796728683	5492.771215654731	2.9963237568552934	5299.013939917683	0.000012778282289379806
1971.	Crawford	64.665	379.496	78258.13753040043	5492.869630437307	2.996067211659661	5299.128944195335	0.00001277822385705942
1971.	Crawford	69.476	437.02	79630.24696317172	6262.576450900874	3.6092346563174624	6011.821263918562	0.000012558042177898695
1971.	Crawford	69.477	437.02599999999995	79630.30268904961	6262.6712683927	3.609514884381921	6011.893002770498	0.000012558033389687409
1971.	Crawford	74.168	495.15200000000004	80910.9045547891	7027.106337172965	4.1717337190825505	6717.697190696051	0.000012359273518229506
1971.	Crawford	74.17	495.13399999999996	80910.00982756814	7026.974321854216	4.172953269496178	6717.466377855686	0.000012359410190792909
1971.	Crawford	78.896	555.534	82145.21056385557	7808.851744154852	4.7098288799900265	7437.2650848391595	0.000012173564266691484
1971.	Crawford	78.9	555.566	82145.62771309112	7809.308709467354	4.710683302727098	7437.635796882186	0.000012173502447296232
1971.	Crawford	82.311	600.254	83005.515468094	8380.35690810871	5.081543721772153	7962.089962825922	0.000012047392204731071
1971.	Crawford	82.312	600.362	83008.49890677046	8381.515661469168	5.079814417667327	7963.385977122135	0.000012046959205022276
1971.	Crawford	87.519	670.23	84272.83014608074	9262.856372279271	5.622440923777096	8770.785965071225	0.000011866220681880194
1971.	Crawford	87.52	670.255	84273.37138454936	9263.144359869455	5.622341894712358	8771.07699724423	0.000011866144472099992
1971.	Crawford	93.615	754.8489999999999	85695.48072827823	10312.410444286928	6.2181885465121445	9730.294723505194	0.000011669226795877171
1971.	Crawford	93.615	754.804	85694.38135384995	10311.95215672367	6.218902438632707	9729.76960493107	0.000011669376500552489
1971.	Crawford	96.716	798.8149999999999	86392.04807550157	10851.116924903054	6.509748803419217	10221.52005963156	0.000011575139405493185
1971.	Crawford	96.716	798.944	86395.0702659174	10852.421834514991	6.507802307971301	10223.013226497238	0.000011574734494943714
1971.	Crawford	99.962	845.669	87107.30327009369	11420.185916444845	6.804412039815258	10740.003280120833	0.000011480093659877165
1971.	Crawford	100.023	846.509	87119.52268078088	11430.441971335085	6.810547026193842	10749.230626134098	0.000011478483458456854
1971.	Crawford	105.253	923.466	88236.52676841801	12355.094337737608	7.268297292088767	11590.084242853389	0.000011333175008401669
1971.	Crawford	105.253	923.4649999999999	88236.50574228988	12355.084400597545	7.268310555713587	11590.072909677023	0.000011333177709016203
1971.	Crawford	109.87	992.8109999999999	89188.5767272371	13178.52720051762	7.656767432023962	12337.278162761146	0.000011212198206259885
1971.	Crawford	109.876	992.9209999999998	89190.1733509118	13179.788996126214	7.657026502453987	12338.465552142578	0.000011211997492880497
1971.	Crawford	110.04	995.3549999999998	89222.37949554827	13208.635425961786	7.671226065597314	12364.493709703456	0.000011207950355660429
1971.	Crawford	110.041	995.358	89222.34038169618	13208.694737110685	7.671459500473246	12364.519662219109	0.000011207955269072367
1971.	Vos	143.3	1570.	95858.51361664866	19675.293658600323	9.786714512932082	18272.857468897157	0.000010432041581607838
1971.	Vos	177.4	2180.	100972.86516456479	26201.61326409755	11.873202953901464	24095.307060075425	9.903650831044636e-6
1971.	Vos	197.7	2590.	103886.88614880829	30380.815283657197	12.82029377485996	27846.243204367383	9.625854013639346e-6
1971.	Vos	270.6	4130.	112171.98593483397	45323.34344008015	15.893025322472127	41022.6907878192	8.914881836726574e-6
1971.	Vos	273.5	4180.	112367.87389681926	45810.86574212077	16.048026249051237	41421.73056300526	8.899340757468104e-6
1971.	Vos	288.4	4540.	113960.32296323247	49118.77922801737	16.49977386823157	44360.244444419375	8.774983906658763e-6
1971.	Vos	293.5	4640.	114343.79162852716	50060.50578369328	16.725610773785256	45151.53902158731	8.745555711924758e-6
1971.	Vos	294.2	4660.	114432.24299699404	50238.822094573996	16.737429234801183	45314.67041369549	8.738795760791549e-6
1971.	Vos	321.3	5280.	116812.64530826772	55881.22568041263	17.650662087782926	50210.06795160797	8.560717012794354e-6
1971.	Vos	327.9	5450.	117450.19578234608	57387.32292396779	17.819335406345004	51544.36284422725	8.514247195067765e-6
1977.	Crawford	25.	3.03	62271.09380314179	-47.50814887886247	-3.6655190895367404	44.129828359556036	0.000016058815397739916
