Year	Author	Temperature	Change in Enthalpy	Pressure
1962.0	Lahr	116.1	1.904	1.1208273011596064
1962.0	Lahr	165.0	2.226	184.44634626594546
1962.0	Lahr	209.0	2.326	376.82576632964975
1962.0	Lahr	252.0	2.519	587.6055136902013
1962.0	Lahr	293.0	2.33	808.3074650479266
1962.0	Lahr	332.0	2.406	1035.3502507217572
1962.0	Lahr	370.0	2.155	1272.082890370817
2008.0	Ferreira	116.0	1.907	0.7744708142249547
2008.0	Ferreira	161.404	2.19	169.8267462891649
1977.0	Pollack	115.763	1.64	0.072954
