Year	Author	Temperature	Pressure
1970	Leming	138.418	12119.63641
1970	Leming	138.992	12811.44427
1956	Freeman	139	12974.211
1970	Leming	139.419	13346.33213
1956	Freeman	140	14260.82587
2006	Lide	140	14000
1947	Stull	140.35	13332.2
1956	Freeman	141	15654.02177
1960	Heastie	141.01	15532.013
1970	Leming	141.183	15755.86064
1956	Freeman	142	17160.7803
1970	Leming	142.115	17180.53953
1978	Chen 	142.826	18343.77398
1970	Leming	142.831	18482.56218
1956	Freeman	143	18788.40581
1970	Leming	143.018	18663.61346
1978	Chen 	143.181	18945.0562
1978	Chen 	143.631	19730.32278
1956	Freeman	144	20544.53256
1970	Leming	144.058	20499.19075
1978	Chen 	144.066	20514.25614
1970	Leming	144.088	20556.38589
1978	Chen 	144.527	21372.84982
1970	Leming	144.965	22225.04404
1956	Freeman	145	22437.13171
1978	Chen 	145.029	22344.7672
1970	Leming	145.211	22769.39777
1960	Heastie	145.33	22838.0586
1978	Chen 	145.542	23376.67948
1970	Leming	145.921	24169.01213
1978	Chen 	145.989	24304.6006
1956	Freeman	146	24474.51807
1970	Leming	146.271	24981.07643
1978	Chen 	146.553	25519.16402
1978	Chen 	146.8	26068.45066
1970	Leming	146.84	26181.24107
1956	Freeman	147	26665.35674
1978	Chen 	147.256	27109.69548
1970	Leming	147.35	27400.0708
1978	Chen 	147.679	28105.61082
1947	Stull	147.75	26664.4
1970	Leming	147.8	28417.98427
1978	Chen 	147.978	28825.54962
1956	Freeman	148	29018.66946
1978	Chen 	148.464	30030.7805
1960	Heastie	148.5	30010.7822
1970	Leming	148.684	30689.12454
1970	Leming	148.781	30892.97387
1970	Leming	148.949	31343.60223
1978	Chen 	148.983	31364.0005
1956	Freeman	149	31543.84076
1970	Leming	149.296	32223.26079
1978	Chen 	149.44	32578.56392
1970	Leming	149.645	33216.77633
1970	Leming	149.692	33376.36277
1978	Chen 	149.827	33639.80704
1970	Leming	149.831	33723.7999
1956	Freeman	150	34250.62388
2006	Lide	150	34200
1978	Chen 	150.296	34962.36128
1970	Leming	150.561	35816.82198
1970	Leming	150.607	35998.67319
1978	Chen 	150.764	36326.24534
1970	Leming	150.798	36507.42994
1956	Freeman	151	37149.14646
1970	Leming	151.114	37497.34579
1978	Chen 	151.202	37648.79958
1970	Leming	151.282	37987.17082
1978	Chen 	151.67	39099.34294
1970	Leming	151.727	39376.6527
1970	Leming	151.999	40275.3763
1956	Freeman	152	40249.91596
1978	Chen 	152.143	40609.8812
1960	Heastie	152.39	41169.8336
1970	Leming	152.579	42153.61664
1978	Chen 	152.645	42272.40654
1970	Leming	152.82	43012.87693
1956	Freeman	153	43563.82482
1978	Chen 	153.192	44145.58064
1970	Leming	153.341	44792.72563
1970	Leming	153.582	45684.78313
1978	Chen 	153.701	45950.76052
1956	Freeman	154	47102.15541
1931	Allen	154.05	60528.188
1970	Leming	154.058	47387.43839
1978	Chen 	154.192	47751.94074
1970	Leming	154.342	48472.81279
1978	Chen 	154.616	49351.80474
1970	Leming	154.709	49853.09546
1978	Chen 	154.994	50817.01352
1956	Freeman	155	50876.58461
2006	Lide	155	51100
1970	Leming	155.028	51119.38782
1978	Chen 	155.548	53023.49262
1970	Leming	155.706	53855.95519
1931	Allen	155.95	61994.73
1956	Freeman	156	54899.1882
1947	Stull	156.05	53328.8
1978	Chen 	156.123	55401.9571
1960	Heastie	156.14	55501.9486
1970	Leming	156.354	56576.3906
1978	Chen 	156.642	57624.43484
1931	Allen	156.95	65461.102
1931	Allen	156.95	64261.204
1970	Leming	156.972	59281.49398
1956	Freeman	157	59182.44495
1978	Chen 	157.056	59452.27946
1978	Chen 	157.113	59701.5916
1970	Leming	157.588	62114.58648
1978	Chen 	157.596	61905.40426
1978	Chen 	157.81	62897.31994
1931	Allen	157.85	66794.322
1956	Freeman	158	63739.24036
1960	Heastie	158.1	64407.8582
1970	Leming	158.17	64845.28768
1978	Chen 	158.382	65622.42162
1970	Leming	158.458	66211.9715
1978	Chen 	158.522	66301.0306
1970	Leming	158.71	67456.79902
1931	Allen	158.75	69994.05
1931	Allen	158.75	69994.05
1956	Freeman	159	68582.87021
1978	Chen 	159.312	70263.36044
1978	Chen 	159.316	70290.02484
1978	Chen 	159.428	70859.30978
1978	Chen 	159.495	71216.61274
1931	Allen	159.65	72527.168
1978	Chen 	159.68	72177.86436
1978	Chen 	159.691	72236.52604
1931	Allen	159.75	74660.32
1978	Chen 	159.844	73039.12448
1931	Allen	159.95	77726.726
1956	Freeman	160	73727.04371
2006	Lide	160	74200
1978	Chen 	160.007	73911.05036
1931	Allen	160.15	78126.692
1978	Chen 	160.163	74752.31218
1931	Allen	160.25	78393.336
1978	Chen 	160.321	75613.5723
1978	Chen 	160.337	75702.89804
1960	Heastie	160.42	76353.5094
1931	Allen	160.45	78659.98
1978	Chen 	160.484	76508.16292
1931	Allen	160.55	79193.268
1978	Chen 	160.623	77277.43086
1978	Chen 	160.659	77478.74708
1978	Chen 	160.727	77853.3819
1978	Chen 	160.842	78499.9936
1978	Chen 	160.857	78586.6529
1931	Allen	160.95	79993.2
1931	Allen	160.95	76126.862
1978	Chen 	160.963	79186.6019
1956	Freeman	161	79185.88644
1978	Chen 	161.043	79645.22958
1978	Chen 	161.067	79781.21802
1931	Allen	161.15	80526.488
1931	Allen	161.15	77460.082
1978	Chen 	161.162	80326.505
1978	Chen 	161.245	80803.79776
1978	Chen 	161.279	81001.11432
1978	Chen 	161.332	81307.75492
1960	Heastie	161.38	81659.725
1981	Staveley	161.39	81674.39042
2006	Lide	161.4	81700
1956	Freeman	161.405	81489.54818
1931	Allen	161.45	82392.996
1931	Allen	161.45	77460.082
1947	Stull	165.15	101324.72
