Year	Author	Temperature	Pressure	Change in Enthalpy	Molar Density	Enthalpy
1978.	Chen	143.	0.01170735177984934	15.261	9.84630840941441	4.173396942613777
1978.	Chen	144.	0.013013024930888824	15.253	10.868370423824071	4.194168753610292
1978.	Chen	145.	0.014458962933298647	15.243	11.992656579470237	4.214939380626648
1978.	Chen	146.	0.016060306194794496	15.234	13.229533116421777	4.235708726585031
1978.	Chen	147.	0.01783395020520566	15.223	14.590518798762849	4.25647668536157
1978.	Chen	148.	0.019798785649906826	15.212	16.08844076992812	4.277243140626783
1978.	Chen	149.	0.021975981704616374	15.2	17.737618901387947	4.298007964456175
1978.	Chen	150.	0.024389323540726884	15.188	19.55408612393262	4.318771015642628
1978.	Chen	151.	0.027065619126217723	15.175	21.555855056504903	4.339532137613991
1978.	Chen	152.	0.030035196546943425	15.161	23.76324555148394	4.3602911558149975
1978.	Chen	153.	0.03333252273918742	15.146	26.199294593034153	4.381047874341341
1978.	Chen	154.	0.03699699047158735	15.131	28.890281301659343	4.401802071492664
1978.	Chen	155.	0.0410739482616103	15.115	31.866419677215042	4.422553493694596
1978.	Chen	156.	0.04561610008042444	15.098	35.16280917057349	4.443301846824027
1978.	Chen	157.	0.05068550858492071	15.08	38.82081034938503	4.464046783099847
1978.	Chen	158.	0.056356682159955616	15.061	42.89019189576586	4.484787879645654
1978.	Chen	159.	0.06272189778587808	15.041	47.43288531830179	4.5055245991133654
1978.	Chen	160.	0.06990228391537748	15.02	52.5309234003068	4.526256202159467
1978.	Chen	161.	0.07808223296402678	14.999	58.31149401228198	4.546981457034487
